127.0.0.1 - - [14/Oct/2022:21:18:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:18:03 +0530] "GET /BIOMaaS/NewFile.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:18:25 +0530] "GET /BIOMaaS/NewFile.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:21:39 +0530] "GET /BIOMaaS/WEB-INF/BIOMaaS/index.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:23:13 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:17 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:18 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:18 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:18 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:18 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:19 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:24:19 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:25:22 +0530] "GET /BIOMaaS/BIOMaaS/index.html HTTP/1.1" 200 21521
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:25:22 +0530] "GET /BIOMaaS/BIOMaaS/css/magnific-popup.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:25:22 +0530] "GET /BIOMaaS/BIOMaaS/css/owl.carousel.min.css HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:25:22 +0530] "GET /BIOMaaS/BIOMaaS/css/bootstrap.css HTTP/1.1" 200 134656
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:25:22 +0530] "GET /BIOMaaS/BIOMaaS/css/icomoon.css HTTP/1.1" 200 25225
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:25:22 +0530] "GET /BIOMaaS/BIOMaaS/css/animate.css HTTP/1.1" 200 73008
